Location,University_Count,Avg_Overall_Score,Avg_Teaching_Score,Avg_Research_Score,Avg_Citations_Score
United States,50,73.3,65.0,67.8,90.6
United Kingdom,21,70.0,52.5,59.7,93.9
Germany,16,64.7,52.4,58.1,82.1
Netherlands,10,65.2,44.0,59.9,85.8
Australia,9,68.1,50.0,60.8,87.2
Canada,6,70.1,55.9,64.7,85.7
Switzerland,6,69.2,54.8,59.2,87.1
France,5,65.3,58.7,58.1,77.1
Sweden,4,62.2,43.2,58.4,79.6
Hong Kong,3,69.2,53.1,61.4,86.3
China,3,68.9,68.5,72.3,69.6
South Korea,3,67.1,68.9,70.4,65.7
Belgium,3,65.6,48.2,60.4,85.0
Singapore,2,82.0,68.6,85.4,88.7
Japan,2,72.0,82.8,85.2,53.9
Denmark,2,61.4,42.8,53.8,82.4
Saudi Arabia,1,63.0,51.7,36.7,91.9
Finland,1,62.5,45.9,58.5,86.6
Austria,1,60.4,49.4,59.3,65.1
Norway,1,60.2,40.1,48.5,89.0
New Zealand,1,58.4,36.8,44.3,85.4
